User_ID,Age,Gender,Country,Education,Days_Since_Registration,Avg_Session_Duration,Num_Sessions_Last_Week,Device_Type,Pages_Visited,Course_Interest_Level,Clicked_Email_Ad,Viewed_Trial_Course,Previous_Purchases,Target_Purchased,Target_Time_Next_Week (min)
32,19,Female,UK,PhD,357,20.8,9,Desktop,40,5,No,Yes,2,No,251
33,46,Male,Brazil,Masters,234,2.9,9,Desktop,23,5,No,No,4,Yes,273
34,57,Male,UK,Masters,175,8.8,6,Tablet,103,5,No,No,2,Yes,249
35,50,Male,Brazil,Bachelors,697,14.0,7,Tablet,49,3,No,No,0,Yes,183
36,21,Male,Germany,Masters,238,12.5,11,Mobile,107,5,Yes,Yes,4,Yes,297
37,21,Male,Brazil,Bachelors,988,1.7,6,Tablet,61,1,No,No,0,No,122
38,46,Female,USA,Masters,1014,10.9,13,Mobile,80,5,No,Yes,1,Yes,317
39,54,Female,UK,Bachelors,912,24.4,14,Desktop,123,5,No,Yes,3,Yes,307
40,37,Female,India,PhD,630,13.2,10,Mobile,161,2,No,No,4,Yes,192
41,58,Female,Brazil,Masters,588,15.0,9,Desktop,20,5,No,Yes,0,Yes,250
42,40,Male,UK,High School,794,8.8,7,Tablet,154,4,No,No,1,No,210
43,35,Female,India,High School,920,13.2,10,Mobile,76,3,Yes,No,4,Yes,224
44,42,Male,UK,Bachelors,407,11.9,10,Mobile,59,2,No,Yes,4,No,173
45,18,Male,UK,Masters,177,17.6,8,Mobile,144,3,Yes,No,2,No,177
46,32,Male,India,Masters,119,17.4,7,Tablet,148,4,No,Yes,4,No,207
47,51,Male,India,High School,614,14.0,4,Tablet,59,2,No,No,0,No,140
48,37,Male,Germany,Masters,365,12.4,3,Tablet,51,2,Yes,Yes,3,No,132
49,54,Female,Canada,Masters,486,3.6,4,Mobile,77,4,No,Yes,4,No,219
50,44,Male,Brazil,Bachelors,322,3.4,11,Mobile,31,4,No,No,0,No,265
51,39,Male,Brazil,PhD,139,12.4,10,Desktop,115,1,No,Yes,1,Yes,154
52,22,Female,UK,High School,333,16.4,14,Mobile,103,2,Yes,No,1,No,197
53,51,Female,USA,PhD,224,18.7,12,Desktop,143,3,Yes,Yes,4,Yes,269
54,56,Female,USA,Masters,572,7.6,0,Tablet,99,5,Yes,No,3,No,186
55,20,Male,Canada,Masters,776,4.5,4,Desktop,147,4,Yes,No,4,No,192
56,34,Male,UK,Bachelors,967,16.7,5,Desktop,185,1,No,No,2,No,99
57,41,Male,Germany,PhD,593,7.9,12,Mobile,125,4,No,No,4,No,301
58,41,Male,India,PhD,809,4.1,8,Mobile,95,3,Yes,No,2,Yes,186
59,20,Female,UK,Bachelors,987,9.5,8,Desktop,37,5,Yes,No,2,No,258
60,24,Female,Brazil,PhD,1024,9.4,9,Desktop,104,5,No,No,2,Yes,268
61,42,Female,USA,Bachelors,861,18.6,13,Tablet,26,4,Yes,Yes,2,Yes,262
62,20,Female,USA,Bachelors,187,16.3,11,Mobile,69,5,Yes,No,2,No,340
63,32,Female,USA,Masters,249,8.3,2,Tablet,62,5,Yes,Yes,1,No,250
64,46,Female,Germany,Masters,1069,19.0,12,Desktop,31,3,Yes,No,4,No,249
65,46,Male,Brazil,Masters,1024,12.6,12,Tablet,120,4,No,No,4,Yes,292
66,27,Male,Germany,Bachelors,246,17.3,10,Mobile,144,1,No,Yes,2,No,108
67,49,Female,India,Masters,927,18.6,7,Desktop,192,1,Yes,No,2,No,103
68,40,Female,UK,High School,15,10.7,7,Desktop,76,2,No,No,2,No,141
69,56,Female,UK,High School,826,14.9,8,Tablet,37,3,No,Yes,4,Yes,210
70,26,Female,USA,Masters,689,10.0,14,Mobile,118,4,Yes,No,2,Yes,289
71,54,Male,USA,Bachelors,727,16.7,0,Desktop,198,5,No,No,2,Yes,208
72,57,Male,India,High School,537,12.5,4,Desktop,141,3,Yes,No,3,No,177
73,31,Male,Germany,Masters,492,16.8,4,Tablet,30,4,Yes,Yes,4,No,170
74,21,Female,Canada,High School,292,19.6,6,Desktop,177,4,No,No,3,Yes,209
75,37,Female,Canada,High School,117,14.7,10,Desktop,59,3,Yes,No,0,No,236
76,45,Female,Canada,High School,592,11.5,7,Mobile,115,3,Yes,No,3,Yes,187
77,31,Male,Brazil,PhD,687,11.6,10,Mobile,184,3,Yes,Yes,3,No,255
78,51,Male,India,High School,744,1.0,6,Tablet,141,2,Yes,No,0,Yes,151
79,30,Male,UK,Masters,948,8.4,14,Desktop,139,5,Yes,No,3,No,288
80,48,Female,UK,High School,683,16.7,5,Mobile,61,3,No,No,3,Yes,188
81,50,Male,Germany,Masters,629,16.8,3,Tablet,189,2,Yes,No,2,No,112
82,56,Male,India,High School,593,8.3,14,Mobile,123,1,Yes,No,0,No,166
83,45,Female,Brazil,High School,387,12.8,8,Tablet,169,2,Yes,Yes,2,No,179
84,42,Male,India,PhD,652,11.1,1,Tablet,77,5,Yes,Yes,1,Yes,209
85,49,Female,India,High School,193,15.4,5,Desktop,82,1,Yes,Yes,4,Yes,130
86,26,Female,Germany,Masters,101,23.0,9,Tablet,162,3,No,No,3,Yes,212
87,45,Female,Brazil,PhD,1094,15.5,5,Tablet,55,3,No,Yes,1,No,159
88,48,Male,Canada,PhD,444,8.6,10,Mobile,51,3,No,Yes,0,No,234
89,34,Male,UK,High School,433,11.6,3,Tablet,116,3,Yes,Yes,1,Yes,184
90,40,Female,USA,High School,537,19.0,12,Tablet,88,1,Yes,No,0,No,198
91,30,Male,Canada,Bachelors,601,5.0,2,Mobile,186,2,No,No,0,No,100
92,27,Female,Brazil,High School,708,8.9,10,Mobile,155,2,No,No,0,Yes,182
93,33,Male,UK,Bachelors,319,15.5,13,Mobile,190,4,Yes,No,3,Yes,284
94,23,Female,Canada,Masters,225,18.5,2,Mobile,60,2,Yes,No,0,No,120
95,28,Female,Germany,High School,388,15.0,1,Desktop,35,2,Yes,No,3,No,129
96,20,Male,Brazil,High School,846,9.0,2,Desktop,72,2,No,No,1,Yes,125
97,45,Female,Brazil,Bachelors,71,14.7,3,Tablet,194,2,Yes,No,1,No,110
98,58,Female,UK,Bachelors,444,14.1,9,Mobile,119,2,No,No,3,Yes,163
99,32,Female,UK,PhD,599,13.8,3,Desktop,64,1,Yes,Yes,1,Yes,143
100,30,Female,India,PhD,387,11.5,13,Tablet,169,5,Yes,Yes,2,No,333
101,59,Female,India,High School,18,12.3,9,Desktop,38,5,Yes,Yes,1,Yes,283
102,34,Male,Brazil,Masters,553,7.5,13,Desktop,5,4,No,Yes,2,No,255
103,24,Male,USA,PhD,874,24.4,14,Desktop,45,2,No,No,1,No,188
104,45,Female,Germany,PhD,280,12.8,6,Tablet,108,3,No,Yes,1,Yes,147
105,55,Male,UK,PhD,771,14.7,3,Desktop,176,5,Yes,No,0,No,195
106,30,Female,India,Bachelors,954,10.9,8,Tablet,39,3,Yes,Yes,2,No,179
107,34,Female,Germany,High School,329,16.2,7,Mobile,159,4,No,Yes,3,No,197
108,32,Female,Canada,Bachelors,508,5.5,0,Mobile,153,3,Yes,Yes,0,No,156
109,53,Female,Canada,Masters,450,3.3,9,Mobile,86,2,Yes,Yes,2,Yes,171
110,45,Female,Brazil,Bachelors,839,11.8,0,Mobile,27,2,Yes,No,0,No,102
111,32,Male,UK,High School,393,22.3,12,Desktop,45,1,Yes,Yes,4,No,193
112,28,Male,Canada,Bachelors,109,18.0,5,Desktop,182,2,No,Yes,0,Yes,129
113,48,Male,UK,Masters,359,8.0,3,Mobile,26,5,No,No,3,No,184
114,21,Male,India,High School,956,14.6,9,Tablet,44,2,No,Yes,4,Yes,190
115,52,Male,Canada,High School,935,8.8,5,Desktop,134,2,No,No,3,Yes,160
116,51,Male,USA,High School,318,14.1,8,Desktop,46,3,No,No,3,No,214
117,44,Female,Canada,High School,341,14.5,9,Tablet,162,4,No,No,2,No,250
118,27,Male,UK,Masters,349,16.6,4,Tablet,176,2,Yes,No,1,No,134
119,47,Female,USA,High School,27,4.2,7,Tablet,87,5,No,No,0,No,220
120,37,Female,Germany,Masters,638,5.7,1,Mobile,14,4,Yes,No,3,No,134
121,46,Male,Canada,Masters,401,11.6,7,Mobile,88,2,No,Yes,4,No,145
122,46,Male,UK,Bachelors,316,6.8,7,Tablet,195,4,No,No,2,Yes,185
123,40,Female,Canada,Bachelors,368,6.5,1,Mobile,156,5,Yes,Yes,0,No,191
124,38,Female,Canada,High School,343,13.4,6,Mobile,138,3,No,No,0,No,199
125,27,Female,UK,PhD,693,7.4,7,Tablet,127,3,Yes,No,2,Yes,199
126,58,Female,USA,PhD,904,23.3,6,Desktop,49,1,No,Yes,0,No,129
127,29,Female,India,High School,186,9.3,5,Mobile,129,5,Yes,No,1,No,201
128,47,Male,Canada,Masters,836,10.6,2,Tablet,150,2,Yes,No,1,No,122
129,50,Male,Brazil,Bachelors,319,13.5,10,Tablet,148,2,Yes,No,0,No,151
130,35,Female,Germany,High School,955,4.5,10,Tablet,107,1,Yes,Yes,0,Yes,178
131,31,Female,UK,High School,594,14.5,2,Desktop,108,5,Yes,No,2,Yes,196
132,39,Female,Canada,Masters,992,13.7,7,Tablet,44,4,Yes,Yes,4,Yes,210
133,38,Female,India,Bachelors,793,10.3,3,Tablet,148,4,Yes,No,3,No,139
134,18,Female,UK,PhD,353,13.4,12,Desktop,108,3,Yes,Yes,3,Yes,261
135,32,Female,Canada,PhD,355,14.1,14,Tablet,83,4,Yes,No,4,Yes,331
136,53,Female,Germany,High School,106,19.2,9,Mobile,132,4,Yes,Yes,0,Yes,212
137,39,Female,Brazil,High School,418,24.5,7,Desktop,108,5,Yes,No,3,Yes,205
138,49,Male,UK,High School,642,6.7,14,Desktop,145,5,Yes,Yes,1,Yes,322
139,50,Female,Canada,High School,205,5.5,13,Tablet,54,1,Yes,Yes,2,Yes,201
140,58,Female,USA,High School,565,12.5,12,Mobile,161,5,Yes,No,4,Yes,318
141,56,Male,India,PhD,189,1.6,9,Desktop,190,1,Yes,No,3,Yes,167
142,40,Female,Brazil,High School,543,15.2,5,Tablet,139,1,No,Yes,4,No,99
143,19,Female,UK,Bachelors,258,12.6,2,Tablet,9,2,No,Yes,0,No,88
144,19,Female,Canada,Masters,453,13.8,11,Desktop,172,4,No,Yes,3,Yes,282
145,55,Female,Brazil,PhD,78,10.5,9,Desktop,8,5,Yes,No,4,Yes,262
146,46,Male,USA,Masters,1047,13.3,1,Tablet,11,1,Yes,Yes,3,No,53
147,20,Female,UK,Masters,503,14.4,0,Desktop,41,4,No,Yes,3,No,144
148,56,Female,Brazil,High School,185,13.0,11,Mobile,117,5,No,No,3,Yes,272
149,24,Female,UK,Masters,547,5.3,3,Mobile,79,4,Yes,Yes,4,Yes,167
150,53,Male,UK,Bachelors,49,12.9,7,Tablet,191,1,No,Yes,2,No,106
151,46,Female,Brazil,High School,168,21.3,3,Mobile,54,4,Yes,Yes,2,Yes,158
152,54,Female,UK,PhD,21,13.2,7,Tablet,73,3,Yes,No,4,Yes,162
153,53,Male,USA,Bachelors,392,12.7,12,Desktop,161,4,Yes,No,1,Yes,261
154,40,Male,Brazil,PhD,903,19.8,7,Desktop,187,3,Yes,Yes,0,No,206
155,33,Male,Canada,High School,229,8.3,10,Tablet,123,5,Yes,No,4,Yes,262
156,48,Male,Brazil,High School,352,16.4,0,Tablet,93,1,No,No,1,No,72
157,51,Female,USA,PhD,225,9.3,12,Desktop,199,4,Yes,Yes,4,Yes,236
158,18,Male,USA,Masters,234,17.4,5,Tablet,34,4,Yes,Yes,0,No,206
159,35,Male,USA,PhD,266,16.0,10,Mobile,152,4,No,Yes,4,Yes,258
160,57,Male,Canada,Bachelors,858,9.9,14,Mobile,71,1,No,No,3,Yes,206
161,32,Female,Canada,Masters,314,10.7,9,Mobile,65,4,No,No,4,Yes,223
162,34,Male,UK,High School,499,16.9,7,Desktop,48,5,No,No,1,No,252
163,27,Female,UK,Bachelors,877,2.7,7,Desktop,60,5,No,No,4,No,243
164,37,Female,Germany,Bachelors,211,9.8,0,Desktop,83,5,No,Yes,2,No,167
165,23,Male,UK,High School,99,15.1,7,Tablet,192,5,Yes,No,4,Yes,278
166,25,Female,USA,Masters,345,10.5,12,Desktop,173,2,Yes,Yes,1,Yes,242
167,51,Male,Germany,High School,904,12.7,8,Desktop,82,2,No,Yes,4,No,149
168,49,Male,USA,Bachelors,524,1.8,10,Mobile,44,5,Yes,Yes,2,Yes,279
169,59,Female,India,Bachelors,118,7.7,13,Desktop,54,4,Yes,No,4,No,299
170,21,Female,Canada,Bachelors,600,15.4,5,Tablet,142,5,Yes,Yes,0,No,187
171,56,Female,Brazil,High School,856,8.2,12,Tablet,21,2,Yes,Yes,2,No,202
172,37,Female,India,PhD,209,5.5,6,Mobile,19,2,No,Yes,0,No,97
173,41,Male,Canada,Bachelors,481,17.3,5,Mobile,97,1,No,Yes,2,No,80
174,41,Female,Canada,Bachelors,923,14.6,4,Tablet,185,1,No,No,1,No,130
175,43,Female,USA,Masters,329,6.6,0,Mobile,55,4,Yes,Yes,4,Yes,142
176,42,Female,UK,PhD,417,12.7,1,Mobile,125,1,Yes,Yes,4,Yes,57
177,53,Female,Brazil,Masters,254,6.7,9,Tablet,70,3,Yes,Yes,0,No,238
178,24,Male,UK,Bachelors,945,11.2,1,Mobile,30,3,Yes,No,2,No,90
179,27,Male,UK,PhD,5,12.9,10,Tablet,42,1,Yes,No,1,Yes,148
180,29,Female,Brazil,Masters,303,8.0,8,Tablet,129,3,No,Yes,2,Yes,200
181,18,Female,Brazil,High School,980,15.7,5,Tablet,96,2,No,No,3,No,126
182,42,Male,India,Masters,607,16.5,2,Mobile,34,5,No,No,0,Yes,191
183,33,Male,USA,PhD,964,13.3,2,Tablet,59,5,Yes,Yes,2,No,193
184,22,Male,UK,Masters,736,14.1,13,Desktop,141,3,Yes,Yes,0,No,251
185,36,Male,USA,PhD,390,4.7,9,Desktop,20,2,Yes,Yes,3,Yes,203
186,21,Female,USA,PhD,850,18.8,9,Desktop,28,2,No,No,2,Yes,154
187,23,Female,Germany,Masters,819,11.5,1,Mobile,24,1,No,No,2,No,36
188,43,Male,India,Masters,12,7.3,6,Tablet,66,2,No,No,0,No,152
189,56,Male,UK,High School,337,12.7,13,Desktop,56,2,No,Yes,3,Yes,182
190,56,Female,Canada,Masters,607,15.7,0,Tablet,130,2,No,No,1,No,76
191,26,Female,Brazil,PhD,129,14.6,0,Mobile,82,5,Yes,Yes,4,No,210
192,31,Male,Brazil,Bachelors,11,6.6,13,Mobile,56,3,No,Yes,0,Yes,207
193,26,Female,USA,Masters,490,15.8,9,Desktop,47,1,Yes,Yes,0,Yes,137
194,32,Male,India,Masters,272,11.7,2,Mobile,100,1,No,Yes,4,No,77
195,54,Female,India,PhD,881,14.5,0,Mobile,142,1,No,No,2,No,82
196,37,Female,UK,Bachelors,9,8.0,12,Tablet,70,4,No,Yes,0,Yes,240
197,25,Male,UK,High School,887,17.2,10,Tablet,75,3,Yes,No,1,No,222
198,49,Female,USA,Bachelors,776,12.9,13,Desktop,197,5,Yes,No,3,Yes,289
199,38,Male,USA,PhD,281,17.9,2,Desktop,105,3,Yes,No,2,No,146
200,58,Female,USA,PhD,458,4.3,14,Tablet,19,1,No,Yes,0,Yes,204
201,36,Male,Germany,PhD,936,5.0,11,Mobile,79,5,Yes,No,1,Yes,262
202,46,Male,India,PhD,451,10.8,8,Desktop,88,3,Yes,No,4,Yes,190
203,48,Male,USA,Bachelors,791,19.3,6,Tablet,54,2,No,Yes,2,No,158
204,23,Female,India,Bachelors,812,21.8,12,Mobile,45,3,Yes,No,1,No,245
205,21,Male,Canada,Bachelors,56,7.6,8,Mobile,64,2,Yes,Yes,0,Yes,176
206,46,Male,Brazil,Masters,708,12.3,6,Mobile,37,1,Yes,Yes,4,No,105
207,59,Female,Brazil,PhD,379,12.8,10,Desktop,56,2,No,Yes,0,No,240
208,20,Female,India,Masters,1010,15.6,13,Desktop,170,4,Yes,No,3,Yes,298
209,18,Male,Canada,Masters,23,16.4,8,Tablet,126,5,No,No,0,No,291
210,32,Male,Brazil,Masters,772,6.4,10,Tablet,196,2,Yes,Yes,4,Yes,160
211,38,Female,Brazil,High School,231,12.3,12,Tablet,142,5,Yes,Yes,3,No,279
212,48,Female,Brazil,Masters,210,2.0,2,Tablet,100,2,Yes,No,3,No,105
213,24,Female,UK,PhD,866,16.1,6,Tablet,104,1,No,Yes,2,No,136
214,34,Male,Canada,Masters,899,10.3,5,Desktop,182,3,No,Yes,0,Yes,144
215,36,Female,UK,PhD,873,6.0,1,Mobile,195,2,No,No,2,No,148
216,56,Male,India,High School,363,13.7,5,Mobile,63,1,No,Yes,4,No,133
217,20,Male,India,Bachelors,475,10.2,2,Desktop,144,2,No,No,2,No,112
218,47,Male,Germany,PhD,195,18.3,1,Mobile,62,4,No,No,2,Yes,164
219,52,Female,UK,Masters,933,7.5,4,Desktop,13,5,No,Yes,4,No,206
220,46,Female,India,PhD,1036,23.1,4,Mobile,181,2,No,Yes,3,Yes,132
221,31,Female,UK,Masters,784,16.3,10,Mobile,193,1,Yes,Yes,0,No,170
222,52,Male,Germany,Bachelors,1086,18.4,1,Tablet,85,1,Yes,No,2,No,60
223,45,Male,India,PhD,529,6.9,2,Desktop,109,3,Yes,No,1,No,129
224,47,Female,India,Masters,271,20.9,7,Mobile,55,5,Yes,No,3,Yes,250
225,43,Female,India,PhD,538,5.9,14,Desktop,177,3,No,No,2,Yes,295
226,24,Male,India,Bachelors,657,11.0,4,Desktop,71,5,No,Yes,1,Yes,189
227,56,Male,USA,Bachelors,65,18.5,7,Tablet,118,5,No,No,4,No,258
228,48,Male,Canada,Bachelors,862,14.5,9,Tablet,109,2,No,No,2,No,157
229,22,Male,Canada,PhD,490,5.8,3,Tablet,84,3,No,Yes,0,No,183
230,52,Female,UK,PhD,1092,17.7,3,Mobile,22,3,Yes,Yes,3,Yes,142
231,31,Male,UK,Masters,362,13.7,12,Mobile,193,3,No,Yes,2,No,218
232,53,Male,UK,Bachelors,572,9.9,5,Mobile,182,1,No,Yes,0,No,98
233,44,Female,Germany,Masters,995,4.3,9,Mobile,146,4,No,No,2,Yes,232
234,41,Female,USA,PhD,769,14.2,10,Tablet,142,2,No,Yes,1,No,217
235,57,Female,UK,High School,1043,11.2,13,Desktop,138,3,Yes,Yes,3,No,263
236,46,Female,UK,Bachelors,545,12.8,13,Desktop,7,5,No,Yes,0,No,303
237,39,Male,India,Masters,979,4.1,14,Desktop,117,5,No,No,0,No,291
238,25,Male,India,Bachelors,932,9.9,4,Mobile,90,2,No,Yes,4,No,132
239,32,Male,India,Masters,91,14.4,4,Mobile,134,1,Yes,Yes,3,No,112
240,22,Male,UK,Masters,973,21.4,8,Mobile,80,3,No,No,2,No,176
241,21,Male,India,High School,238,11.0,5,Desktop,125,4,No,No,1,No,157
242,28,Female,UK,PhD,462,19.2,13,Mobile,133,1,Yes,Yes,2,Yes,220
243,35,Female,Germany,Bachelors,1048,15.9,14,Desktop,184,2,Yes,No,1,Yes,248
244,59,Male,Germany,PhD,851,13.2,2,Mobile,105,3,Yes,Yes,4,No,155
245,47,Female,Brazil,Masters,921,6.9,10,Desktop,145,2,No,Yes,0,No,154
246,32,Male,USA,PhD,907,7.1,3,Mobile,36,2,Yes,No,1,Yes,139
247,23,Male,India,High School,777,15.1,8,Tablet,157,2,No,Yes,0,Yes,196
248,33,Male,Canada,PhD,1030,9.4,5,Mobile,170,2,Yes,No,0,No,118
249,57,Male,India,Masters,570,8.9,10,Desktop,137,4,No,No,2,No,273
250,26,Male,USA,Masters,612,11.1,13,Desktop,105,2,No,Yes,1,No,200
251,51,Female,USA,High School,634,11.2,7,Desktop,150,5,Yes,Yes,1,No,268
252,44,Female,Brazil,Bachelors,983,16.5,10,Tablet,142,2,Yes,Yes,0,Yes,198
253,30,Male,USA,High School,463,9.5,6,Tablet,185,4,No,Yes,1,No,208
254,53,Male,UK,Bachelors,663,16.0,11,Desktop,166,2,No,Yes,3,Yes,163
255,44,Female,India,Masters,990,14.2,0,Desktop,34,3,Yes,Yes,4,Yes,99
256,26,Male,USA,PhD,431,3.6,0,Desktop,164,1,No,No,3,No,59
257,22,Male,UK,Masters,878,13.5,9,Mobile,143,4,No,No,2,Yes,241
258,39,Male,USA,High School,425,1.0,13,Desktop,90,3,No,Yes,2,Yes,260
259,48,Female,Canada,High School,105,7.5,6,Mobile,162,4,No,Yes,3,No,226
260,20,Male,UK,PhD,252,14.3,12,Tablet,5,1,Yes,Yes,4,No,172
261,47,Male,Germany,High School,645,11.9,1,Tablet,10,5,No,No,1,Yes,221
262,38,Female,UK,Masters,178,3.2,8,Desktop,82,1,No,No,4,No,65
263,52,Male,Brazil,PhD,720,6.4,13,Tablet,188,5,No,No,4,Yes,287
264,23,Male,UK,Bachelors,1081,1.0,11,Mobile,199,2,No,Yes,1,Yes,227
265,45,Female,USA,High School,892,5.3,9,Mobile,62,3,No,No,1,No,224
266,49,Female,Germany,Bachelors,409,14.9,11,Desktop,99,4,Yes,No,1,Yes,285
267,59,Male,Germany,PhD,954,9.2,8,Desktop,128,5,No,Yes,1,No,215
268,54,Female,UK,High School,262,12.8,13,Tablet,151,4,Yes,No,0,Yes,274
269,42,Male,USA,PhD,742,12.1,11,Desktop,193,1,No,No,3,No,192
270,49,Male,Germany,High School,654,12.2,1,Desktop,66,2,Yes,No,0,No,72
271,52,Female,Canada,High School,575,17.1,8,Desktop,75,1,Yes,Yes,3,No,126
272,39,Male,UK,High School,118,11.0,8,Mobile,167,5,Yes,No,3,Yes,247
273,41,Female,UK,PhD,971,16.6,9,Tablet,175,3,No,Yes,3,Yes,204
274,56,Female,UK,PhD,308,1.0,5,Desktop,9,5,Yes,Yes,4,Yes,220
275,47,Female,Germany,Masters,490,17.6,4,Desktop,132,5,No,No,3,Yes,187
276,49,Male,India,Masters,757,5.5,9,Desktop,50,1,No,No,1,Yes,174
277,48,Female,USA,PhD,648,6.6,1,Mobile,39,5,Yes,Yes,4,No,160
278,40,Male,Brazil,PhD,608,8.5,5,Mobile,104,3,No,Yes,4,Yes,178
279,57,Female,Brazil,High School,737,17.4,10,Desktop,105,2,Yes,Yes,0,No,184
280,50,Female,USA,Masters,24,7.6,8,Tablet,128,1,Yes,Yes,2,Yes,120
281,42,Male,India,Masters,753,8.7,2,Mobile,168,5,Yes,Yes,4,Yes,233
282,53,Male,USA,PhD,1001,7.2,2,Desktop,8,4,Yes,No,1,Yes,127
283,41,Female,UK,Masters,349,13.3,10,Tablet,193,2,Yes,No,4,No,184
284,48,Male,Canada,PhD,25,15.7,3,Desktop,6,1,Yes,No,0,Yes,100
285,56,Male,USA,Masters,1015,20.5,14,Tablet,105,3,Yes,No,4,No,295
286,30,Female,USA,Bachelors,599,24.0,9,Mobile,167,3,Yes,Yes,2,No,196
287,27,Female,Canada,Bachelors,801,15.3,10,Tablet,50,2,No,No,3,No,227
288,40,Male,Germany,Masters,910,13.8,11,Mobile,8,3,Yes,No,4,Yes,227
289,35,Female,Brazil,PhD,959,5.9,3,Mobile,132,1,No,Yes,0,Yes,104
290,49,Female,Brazil,Bachelors,1052,21.5,14,Tablet,192,1,Yes,Yes,2,Yes,214
291,50,Female,UK,High School,541,13.1,0,Mobile,52,1,Yes,Yes,3,No,38
292,53,Male,Canada,PhD,491,10.6,1,Tablet,124,5,No,No,4,No,178
293,45,Male,UK,Bachelors,488,13.9,5,Tablet,8,3,Yes,No,1,No,178
294,33,Male,Germany,High School,791,8.8,4,Mobile,55,5,Yes,No,4,Yes,211
295,33,Female,UK,Bachelors,172,1.0,9,Mobile,21,3,Yes,No,1,Yes,206
296,35,Male,Canada,Bachelors,38,14.9,3,Mobile,8,3,No,Yes,0,Yes,119
297,25,Female,Canada,High School,299,18.7,9,Mobile,90,3,No,Yes,3,Yes,222
298,59,Female,India,High School,1051,14.8,8,Mobile,189,4,Yes,No,4,Yes,195
299,33,Female,Germany,Masters,648,12.0,1,Desktop,139,5,Yes,Yes,3,No,191
300,28,Female,Canada,Bachelors,748,12.1,14,Desktop,180,2,Yes,Yes,1,No,234
301,23,Male,Canada,High School,926,12.9,11,Desktop,96,5,No,Yes,2,Yes,297
302,18,Female,Germany,Masters,13,12.7,7,Desktop,81,3,No,No,0,Yes,177
303,29,Female,USA,High School,259,11.7,14,Desktop,165,2,Yes,No,4,Yes,228
304,55,Male,USA,Masters,980,12.1,11,Tablet,81,2,Yes,Yes,2,Yes,226
305,45,Female,India,Masters,616,19.8,10,Mobile,132,2,Yes,No,0,Yes,169
306,34,Male,Canada,High School,278,14.4,3,Desktop,188,4,No,Yes,1,No,186
307,18,Male,Germany,High School,954,12.5,8,Tablet,29,1,Yes,Yes,0,No,139
